synset_id,ar_words,en_words,ar_def_len,en_def_len,ratio,ar_def,en_def
awn3-01280991-v,تَجَعَّدَ,"wrinkle, ruckle, crease",32,108,0.3,يتسبب بحدوث تجعيدات على سطح ناعم,"make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled"
awn3-01302626-v,سَقَطَ,fall off,42,8,5.25,يبتعد عن شيء كان مرتبطاً به ويقع على الأرض,come off
awn3-01326622-v,قَتَلَ,kill,18,62,0.29,يتسبب بالموت عمداً,"cause to die; put to death, usually intentionally or knowingly"
awn3-01481053-v,أَغْلَقَ,close,43,13,3.31,يمنع الوصول إلى مكان ما بإغلاقه بحاجز أو حد,bar access to
awn3-01483784-v,عَلَّقَ,suspend,50,11,4.55,يعلق شيئاً بتثبيته في شيء ما فوقه ويتركه حر الحركة,hang freely
awn3-01496276-v,اِسْتَكَنَّ,"ensconce, settle",52,10,5.2,يجعل نفسه مرتاحاً أو آمناً جداً أو ثابتاً في مكان ما,fix firmly
awn3-01542421-v,تَشَرَّب,absorb,51,13,3.92,يسحب المادة من خلال السطح إلى الداخل حتى يتشبّع بها,become imbued
awn3-01543626-v,"اِمْتَصَّ, تَشَرَّبَ","take in, take up",24,6,4.0,يقبل الامتصاص إلى الداخل,accept
awn3-01572394-v,رَكَّبَ,"install, instal, put in",49,14,3.5,يضع الشيء في مكانه الصحيح ويجعله جاهزاً للاستخدام,set up for use
awn3-01607942-v,قتل مِن أجْل المُعْتقد,martyr,58,16,3.62,يقتل شخصاً ويجعله شهيداً بسبب معتقداته الدينية أو السياسية,kill as a martyr
awn3-01627934-v,طَرَقَ,beat,51,16,3.19,يضرب المعدن بمطرقة حتى يصنع منه شكلاً أو يجعله أرقّ,shape by beating
awn3-01646466-v,"أَحْدَثَ, سَبَّبَ","effect, effectuate, set up",36,7,5.14,يُحدث شيئاً ويضعه شيئاً موضع التنفيذ,produce
awn3-01656555-v,"أنْتج مِن مواد خام, صنع مِن مواد خام","create from raw material, create from raw stuff",74,17,4.35,يصنع من المواد الأولية وينتج منها مواد مختلفة عن المواد الداخلة في التصنيع,make from scratch
awn3-01790725-v,"أَسْخَطَ, أَغَاظَ","infuriate, exasperate, incense",40,12,3.33,يثير الغضب أو الانزعاج الشديد لدى شخص ما,make furious
awn3-01801062-v,بَكِى,mourn,42,12,3.5,يشعر بالحزن الشديد وبالأخص على وفاة شخص ما,feel sadness
awn3-01801358-v,"حَزِنَ, اِبْتَأسَ","grieve, sorrow",37,10,3.7,يشعر بيأس وحزن عميق يأكل القلب ويؤلمه,feel grief
awn3-01813288-v,"سَيْطَرَ, تَجَاوَزَ","overwhelm, overpower, sweep over",14,48,0.29,يؤثر عليه بقوة,"overcome, as with emotions or perceptual stimuli"
awn3-01839438-v,تَحَرَّكَ,"travel, go, move",18,62,0.29,يتحرك من مكان لآخر,"change location; move, travel, or proceed, also metaphorically"
awn3-01884106-v,خَفَقَ,"beat, pound, thump",72,17,4.24,ينبض إيقاعياً بشكل أقوى وأسرع من المعتاد، بسبب الخوف أو الجهد أو التمرين,move rhythmically
awn3-01910315-v,"تَمَشَّى, سَارَ","foot, leg it, hoof",30,4,7.5,يتحرك متقدماً باستخدام الساقين,walk
awn3-01942285-v,تَزَلَّجَ,ski,55,18,3.06,يتنقل باستخدام الزلاجات على الثلج أو الماء أو الرمل الخ,move along on skis
awn3-01950855-v,جَدَّفَ,row,55,16,3.44,يجلس في القارب ويجعله يتحرك عبر الماء باستخدام المجاديف,propel with oars
awn3-01988916-v,"جَلَسَ, قَعَدَ","sit down, sit",76,11,6.91,يحرك جسده بحيث يجعل الجزء الأسفل مستقراً على كرسي أو على الأرض وظهره منتصباً,take a seat
awn3-01990883-v,أَغْرَقَ,sink,43,13,3.31,يغمر الشيء أو الشخص بالماء حتى يغطيه تماماً,cause to sink
awn3-01991795-v,"غسْرِل, خَلطَ بالجِلْسرين","glycerolize, glycerolise",52,17,3.06,يعالج بالغليسيرين ( سائل لزج كحولي سكري) أو يحفظ فيه,place in glycerol
awn3-02012411-v,"غَادَرَ, رَحَلَ","depart, take leave, quit",61,16,3.81,يذهب إلى مكان ما وخاصة في سفر أو رحلة. سأرحل إلى مكان غير هذا,go away or leave
awn3-02055618-v,مر ّ,"travel by, pass by, surpass",29,9,3.22,يمر بجانب شخص أو شيء ليتجاوزه,move past
awn3-02062372-v,تَمَلْمَلَ,fidget,58,15,3.87,يقوم بحركات صغيرة متواصلة دون هدف لأنه عصبي أو يشعر بالملل,move restlessly
awn3-02067699-v,تَذَلَّلَ,"fawn, crawl, creep",109,23,4.74,يتصرف تجاه أحدهم بطريقة تظهر أنه صغير وأقل شأناً منه وأنه الأقوى، بوجه متجه نحو ,show submission or fear
awn3-02079296-v,هَرَبَ,"scat, run, scarper",11,38,0.29,يغادر بسرعة,flee; take to one's heels; cut and run
awn3-02128137-v,"فاحت منه رائِحة, فاح",smell,77,12,6.42,يكون لديه خاصية إمكانية إدراك الناس له من خلال حاسة الشم حيث يطلق رائحة معينة,emit an odor
awn3-02154940-v,شَاهَدَ,watch,56,16,3.5,ينظر باهتمام ولفترة من الزمن خاصة إلى شيء متحرك أو متغير,look attentively
awn3-02155378-v,شَاهَدَ,"watch, view, see",51,12,4.25,ينظر إلى شيء لفترة من الزمن، وخاصة شيء يتحرك ويتغير,see or watch
awn3-02169987-v,"عَايَنَ, فَحَصَ, تَفَحَّصَ",inspect,67,19,3.53,ينظر إلى شيء أو شخص بعناية لاكتشاف معلومات عنه، أو التأكد من شيء ما,look over carefully
awn3-02173796-v,رَاقَبَ,observe,54,17,3.18,يشاهد باهتمام وانتباه كيف يحدث شيء ما ليعرف المزيد عنه,watch attentively
awn3-02177332-v,"ضَجَّ, دَوَّى","make noise, resound, noise",47,12,3.92,يصدر صوتاً مرتفعاً يملأ المكان بالضجيج أو الصخب,emit a noise
awn3-02196212-v,تَبَّلَ,"season, flavor, flavour",43,14,3.07,يضيف نكهة للطعام باستخدام التوابل والمنكهات,lend flavor to
awn3-02213047-v,اِشْتَرَى,get,30,8,3.75,يحصل على الشيء مقابل دفع المال,purchase
awn3-02224722-v,رَعَى,"sponsor, patronize, patronise",76,21,3.62,يتولى الرعاية والدعم المادي والمعنوي لكل ما يخص نشاطاً أو مؤسسة عامة أو خاصة,assume sponsorship of
awn3-02233480-v,خَصَّصَ,"assign, allot, portion",36,8,4.5,يُعطى شيء حصة من شيء متوفر لغرض معين,give out
awn3-02242564-v,"تَبَرَّعَ, سَاهَمَ, قَدَّمَ","put up, contribute",65,7,9.29,يعطي شيئاً، وخاصة المال، ليدعم أو ينجز شيئاً بالاشتراك مع الآخرين,provide
awn3-02245101-v,وَظَّفَ,recruit,51,14,3.64,يسعى لتوظيف الآخرين بمحاولة إقناعهم للانضمام للشركة,seek to employ
awn3-02250775-v,"بَاعَ, تَعَامَلَ, تَاجَر",deal,4,37,0.11,يبيع,sell (especially of illegal material)
awn3-02253955-v,سَجَّلَ,"log in, log on, log-in",57,16,3.56,يتصل بنظام الكمبيوتر بإدخال مجموعة من أحرف أو أرقام معينة,enter a computer
awn3-02258764-v,كانَ مَدِينا,owe,78,10,7.8,يحتاج إلى دفع المال أو إعطاء شيء لشخص قد سبق أن أقرضك المال أو فعل شيئاً لأجلك,be in debt
awn3-02303432-v,سَوَّق,market,70,16,4.38,إتاحة السلع للمشترين بطريقة تشجع الناس على شرائها، يتاجر ويسوق لبضائعه,deal in a market
awn3-02303593-v,عَرَضَ,"offer, bid, tender",78,17,4.59,يعرض مبلغاً معيناً ليدفعه مقابل شيء معروض للبيع والتنافس مع أشخاص آخرين لشرائه,propose a payment
awn3-02304648-v,نَاقَصَ,underbid,38,11,3.45,يعطي سعراً أقل مما يستحق ويبخس في ثمنه,bid too low
awn3-02314987-v,"رَدَّ, أَعَادَ, أرْجَعَ","render, return",30,9,3.33,يُعيد الشيء الذي أُخذ مرة أخرى,give back
awn3-02354702-v,ضَمِنَ,secure,99,17,5.82,يتأكد أن مقترض المال سوف يرده من خلال إعطاء الحق للدائن بامتلاك الرهن الذي كان ق,assure payment of
awn3-02396335-v,,"enthrone, throne",89,27,3.3,يضع الملك أو الملكة على العرش خلال مراسم التنصيب لتحديد البداية الرسمية لفترتهم ,put a monarch on the throne
awn3-02429959-v,تَطَوَّعَ,"volunteer, offer",61,12,5.08,يعرض أو يوافق على فعل شيء بحرية وإرادة كاملين ودون طلب من أحد,agree freely
awn3-02470917-v,قَاطَعَ,boycott,144,45,3.2,الامتناع الاختياري عن التعامل أو البيع والشراء من شخص أو بلد أو منظمة، أو المشار,refuse to sponsor; refuse to do business with
awn3-02493705-v,قَامَ بِـ,pay,22,6,3.67,يفعل شيئاً ويقدمه لشخص,render
awn3-02505278-v,عَاقَبَ,"punish, penalize, penalise",10,42,0.24,يفرض عقوبة,impose a penalty on; inflict punishment on
awn3-02516942-v,اِنْغَمَسَ,indulge,54,17,3.18,يسمح لنفسه بالتصرف بحرية في أي شيء يمكن أن يجلب المتعة,give free rein to
awn3-02534046-v,"أَخْفَقَ, فَشِلَ","fail, go wrong, miscarry",46,15,3.07,يكون غير ناجح فيما يسعى لتحقيقه أو فيما يتوقعه,be unsuccessful
awn3-02548492-v,"أَطَاعَ, اِمْتَثَلَ",obey,75,14,5.36,يتصرف وفقاً لما يُطلب منه أو يؤمر به من قبل أحد، أو من قبل قانون أو تعليمات,be obedient to
awn3-02555993-v,"اِهْتَمَّ بِـ, اِعْتَنَى","care, give care",54,16,3.38,يعتقد أن شيئاً ما مهم وعليه تقديم الرعاية والاهتمام له,provide care for
awn3-00114629-a,غَاضِب,angry,116,24,4.83,أن يكون لديك شعور قوي ضد أحد تصرف بشكل سيء، ما يجعلك ترغب بالصراخ عليه أو إيذائه,feeling or showing anger
awn3-00473062-a,"غَيْرَ مَنْشُور, غَيْر مَطْبُوع",unpublished,40,13,3.08,ما لم يتم طباعته ونشره وبيعه من الكتابات,not published
awn3-01414308-a,"مُحْتَمَل, مُتَوَقَّع",likely,14,54,0.26,له فرصة الحدوث,has a good chance of being the case or of coming about
awn3-01493085-a,غَيْر نَاضِج,immature,59,14,4.21,ما زال صغيراً ولم يصل إلى مرحلة من النمو بحيث يمكنه الإنتاج,not yet mature
awn3-01513206-a,شَدِيد,intense,15,69,0.22,قوي بدرجة عالية,possessing or displaying a distinctive feature to a heightened degree
awn3-01555990-a,كَثِير,many,27,195,0.14,عدد كبير لا محدود من شيء ما,a quantifier that can be used with count nouns and is often preceded by ‘as’ or 
awn3-01645077-a,جَدِيد,new,31,113,0.27,ما أتى للوجود أو اكتُشِف مؤخراً,not of long duration; having just (or relatively recently) come into being or be
awn3-01684118-a,"عُضْوِي, عُضْوِيّ",organic,23,92,0.25,له خصائص الكائنات الحية,being or relating to or derived from or having properties characteristic of livi
awn3-01714268-a,غَيْر مَدْفُوع,unpaid,28,8,3.5,عمل أو سلعة لم يتم دفع أجرها,not paid
awn3-01921311-a,كَمَّي,quantitative,20,70,0.29,يخص الكميات بالأرقام,expressible as a quantity or relating to or susceptible of measurement
awn3-02143325-a,لاجِنْسِي,"asexual, nonsexual",104,27,3.85,غياب وجود أمشاج ذكرية تلتقي مع أمشاج أنثوية حيث يصنع الكائن الحي المزيد من أمثال,not having or involving sex
awn3-02951729-a,تَجْرِيبِي,experimental,118,34,3.47,مبني على التجارب والاختبارات العلمية باستخدام طرق وأفكار ومواد جديدة لم يتم تجرب,relating to or based on experiment
awn3-00060735-r,"فِعْلِيَّا, وَاقِعِيَّا",de facto,58,18,3.22,موجود في الحقيقة، رغم أنه غير قانوني أو غير مقصود بالضرورة,in reality or fact
awn3-00104448-r,مُتَقَدِّمَاً,forth,46,13,3.54,من مكان ما إلى مكان آخر للأمام بحيث يمكن رؤيته,out into view
awn3-00105032-r,على الأقل,"at least, at the least",69,13,5.31,إشارة إلى أن الموجود أو المذكور حالياً هو أقل ما يمكن بالعدد أو النوع,not less than
awn3-00105215-r,"على الأكْثر, على  أكْثر تقْدِير","at most, at the most",71,13,5.46,إشارة إلى أن الموجود أو المذكور حالياً هو أكثر شيء ممكن بالعدد أو النوع,not more than
awn3-00124579-r,عِرْقِيَّاً,ethnically,101,25,4.04,بشكل يتعلق بالعرق من حيث الانتماء إلى مجموعة معينة من الناس تشترك في الثقافة وال,with respect to ethnicity
awn3-00137473-r,مُعْجَمِيَّاَ,lexically,73,17,4.29,على نحو له علاقة بكلمات ومفردات اللغة والتي تتميز بشكلها النحوي والتركيبي,by means of words
awn3-00199833-r,لَمْسَا,"tactually, haptically",37,8,4.62,بطريقة اللمس وباستخدام الحواس اللمسية,by touch
awn3-00230340-r,"عَقْلِيَّا, دِهْنِيَّا",mentally,61,12,5.08,بشكل له علاقة بالنشاط الذهني، يحدث بواسطة العقل أو يكون داخله,in your mind
awn3-00394435-r,لوغرثميا,logarithmically,70,23,3.04,بطريقة خاصة باللوغاريتمات ( وهي عدد المرات التي يُضرب فيها الرقم بنفسه,in a logarithmic manner
